CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,POP_2022,AREA_KM2_CALCULADA,LAT,LON
1,Norte,11,Rondônia,1100338,Nova Mamoré,110033805,Nova Mamoré,10409,728.3149934648457,-10.395521803133024,-65.25090672733108
1,Norte,11,Rondônia,1100338,Nova Mamoré,110033810,Araras,668,365.7321533880112,-10.044788599494455,-65.19952270501757
1,Norte,11,Rondônia,1100338,Nova Mamoré,110033812,Jacynópolis,4470,4934.351962779852,-10.428518169588573,-64.3884510473434
1,Norte,11,Rondônia,1100338,Nova Mamoré,110033815,Nova Dimensão,6169,2314.287907116188,-10.259640823547473,-64.6961350242702
1,Norte,11,Rondônia,1100338,Nova Mamoré,110033820,Palmeiras,2299,1411.105368398683,-10.26795758346429,-65.0456724536943
1,Norte,11,Rondônia,1100338,Nova Mamoré,110033825,Nova Marechal Rondon,1429,485.67629623747854,-10.139398301743945,-65.15001712843478
1,Norte,11,Rondônia,1100346,Alvorada D'Oeste,110034605,Alvorada D'Oeste,10414,2506.5853272804156,-11.292343135935731,-62.60494282256617
1,Norte,11,Rondônia,1100346,Alvorada D'Oeste,110034625,Tancredópolis,1279,235.7064441655353,-11.174407329883735,-62.194557454716694
1,Norte,11,Rondônia,1100346,Alvorada D'Oeste,110034630,Terra Boa,1424,319.5363645879212,-11.500388764231214,-62.42178045749329
1,Norte,11,Rondônia,1100379,Alto Alegre dos Parecis,110037905,Alto Alegre dos Parecis,11479,3994.1313981134217,-12.580813833182752,-61.76429493507044
1,Norte,11,Rondônia,1100403,Alto Paraíso,110040305,Alto Paraíso,16320,2686.8929196096396,-9.708064750877334,-63.3834777954098
1,Norte,11,Rondônia,1100452,Buritis,110045205,Buritis,27992,3313.7975417612643,-10.092264104843984,-63.90986254510591
1,Norte,11,Rondônia,1100502,Novo Horizonte do Oeste,110050205,Novo Horizonte do Oeste,4159,455.4577226669366,-11.691727075983337,-62.03096932437186
1,Norte,11,Rondônia,1100502,Novo Horizonte do Oeste,110050210,Migrantinópolis,3508,396.09168302864117,-11.686967138743709,-62.141383292125795
1,Norte,11,Rondônia,1100601,Cacaulândia,110060105,Cacaulândia,4150,1985.5486246039543,-10.330894493497766,-62.96945988264587
1,Norte,11,Rondônia,1100700,Campo Novo de Rondônia,110070005,Campo Novo de Rondônia,8844,3491.016535589656,-10.500136314228177,-63.77289585110043
1,Norte,11,Rondônia,1100809,Candeias do Jamari,110080905,Candeias do Jamari,18938,5663.842685243855,-8.834985827337059,-63.26681159419683
1,Norte,11,Rondônia,1100809,Candeias do Jamari,110080920,Rio Preto do Candeias,3372,1268.963853617563,-9.293793279618384,-63.54235503090916
1,Norte,11,Rondônia,1100908,Castanheiras,110090805,Castanheiras,3233,901.0029320777073,-11.440196614152725,-61.890685262384125
1,Norte,11,Rondônia,1100924,Chupinguaia,110092405,Chupinguaia,9324,5152.907539369542,-12.573878040148996,-60.88228763610539
1,Norte,11,Rondônia,1100940,Cujubim,110094005,Cujubim,14863,3906.2550202545262,-9.137506449415154,-62.53145257679529
1,Norte,11,Rondônia,1101005,Governador Jorge Teixeira,110100505,Governador Jorge Teixeira,5823,1604.4075362937303,-10.785033740082573,-62.940442773241614
1,Norte,11,Rondônia,1101005,Governador Jorge Teixeira,110100515,Colina Verde,2178,3526.2577487340864,-10.815555499557822,-63.34995729160987
1,Norte,11,Rondônia,1101104,Itapuã do Oeste,110110405,Itapuã do Oeste,8548,4131.535582090075,-9.12850945830159,-63.12245286755064
1,Norte,11,Rondônia,1101203,Ministro Andreazza,110120305,Ministro Andreazza,6466,804.8352364997788,-11.180448578108123,-61.583749405638834
1,Norte,11,Rondônia,1101302,Mirante da Serra,110130205,Mirante da Serra,9235,1205.6594919973504,-11.045959600675014,-62.7825566413143
1,Norte,11,Rondônia,1101401,Monte Negro,110140105,Monte Negro,11548,1956.5750722912908,-10.244885595506117,-63.383154757600735
1,Norte,11,Rondônia,1101435,Nova União,110143505,Nova União,6200,815.8532359294725,-10.891090158268849,-62.5318704655266
1,Norte,11,Rondônia,1101450,Parecis,110145005,Parecis,4125,2569.1881730452956,-12.308879472366405,-61.429830722656725
1,Norte,11,Rondônia,1101468,Pimenteiras do Oeste,110146805,Pimenteiras do Oeste,2156,6064.573071752595,-13.00451701503401,-61.73143258074809
1,Norte,11,Rondônia,1101476,Primavera de Rondônia,110147605,Primavera de Rondônia,3076,610.4481832234583,-11.908980776650974,-61.30265189117676
1,Norte,11,Rondônia,1101484,São Felipe D'Oeste,110148405,São Felipe D'Oeste,5258,546.0802045804315,-11.917340564167032,-61.4544750314683
1,Norte,11,Rondônia,1101492,São Francisco do Guaporé,110149205,São Francisco do Guaporé,13818,9496.004446900268,-12.513776412397235,-62.884693596146846
1,Norte,11,Rondônia,1101492,São Francisco do Guaporé,110149210,Porto Murtinho,2468,1586.1640597883238,-12.175466300071385,-63.42307322845502
1,Norte,11,Rondônia,1101500,Seringueiras,110150005,Seringueiras,11171,3820.7416850560808,-11.890193472549573,-63.11416251274735
1,Norte,11,Rondônia,1101559,Teixeirópolis,110155905,Teixeirópolis,4256,464.59768477563256,-10.934576279208766,-62.25995757175987
1,Norte,11,Rondônia,1101609,Theobroma,110160905,Theobroma,8113,2220.140871283929,-10.094182547952709,-62.28192166161795
1,Norte,11,Rondônia,1101708,Urupá,110170805,Urupá,10725,840.5647487930604,-11.11287879422931,-62.452542068514205
1,Norte,11,Rondônia,1101757,Vale do Anari,110175705,Vale do Anari,7788,3164.553070450545,-9.694162180012233,-61.777650861630576
1,Norte,11,Rondônia,1101807,Vale do Paraíso,110180705,Vale do Paraíso,6479,975.0917605797495,-10.360565845403002,-62.07060865244272
1,Norte,12,Acre,1200013,Acrelândia,120001305,Acrelândia,14021,1856.8078190264368,-9.961038227085838,-66.89309125262152
1,Norte,12,Acre,1200054,Assis Brasil,120005405,Assis Brasil,8100,5166.497850665672,-10.720017907808057,-69.97200719010797
1,Norte,12,Acre,1200104,Brasiléia,120010405,Brasiléia,26000,4063.2656067772805,-10.690922041306319,-69.29031345282179
1,Norte,12,Acre,1200138,Bujari,120013805,Bujari,12917,3126.4480783089607,-9.601148745365888,-68.21741133823359
1,Norte,12,Acre,1200179,Capixaba,120017905,Capixaba,10392,1753.6204829004969,-10.451415685522447,-67.87647347204968
1,Norte,12,Acre,1200203,Cruzeiro do Sul,120020305,Cruzeiro do Sul,91888,9247.648795198007,-7.973422018895673,-72.73918150959874
1,Norte,12,Acre,1200252,Epitaciolândia,120025205,Epitaciolândia,18757,1704.918729493435,-10.884471727570816,-68.58794745596913
1,Norte,12,Acre,1200302,Feijó,120030205,Feijó,35426,29152.135849385533,-8.929695674089597,-70.71130502001422
1,Norte,12,Acre,1200328,Jordão,120032805,Jordão,9222,5613.466489136438,-9.2235963109955,-71.84926264115
1,Norte,12,Acre,1200336,Mâncio Lima,120033605,Mâncio Lima,19294,5762.280535829082,-7.4541877878413505,-73.41252019060737
1,Norte,12,Acre,1200344,Manoel Urbano,120034405,Manoel Urbano,11996,11029.029195132362,-9.397383206559574,-70.060438982497
1,Norte,12,Acre,1200351,Marechal Thaumaturgo,120035105,Marechal Thaumaturgo,17093,8612.68645744817,-9.093605681361032,-72.49385132299874
1,Norte,12,Acre,1200385,Plácido de Castro,120038505,Plácido de Castro,14333,2001.2328755489912,-10.244693451287354,-67.25534428994555
1,Norte,12,Acre,1200385,Plácido de Castro,120038510,Campinas,2227,2.881990963915467,-10.072074180524506,-67.2941312558131
1,Norte,12,Acre,1200393,Porto Walter,120039305,Porto Walter,10735,6785.390240678254,-8.448221804877456,-72.7462041906211
1,Norte,12,Acre,1200401,Rio Branco,120040105,Rio Branco,364756,9106.164651596593,-10.027916813358784,-68.23111230603499
1,Norte,12,Acre,1200427,Rodrigues Alves,120042705,Rodrigues Alves,14938,3248.2609588685295,-7.862947645769306,-73.22917178232466
1,Norte,12,Acre,1200435,Santa Rosa do Purus,120043505,Santa Rosa do Purus,6723,6402.496991066205,-9.517015681476108,-70.29784199693894
1,Norte,12,Acre,1200450,Senador Guiomard,120045005,Senador Guiomard,21454,2383.1933069620322,-9.986220116791888,-67.33677459858957
1,Norte,12,Acre,1200500,Sena Madureira,120050005,Sena Madureira,41343,24598.039887043702,-9.791980353661451,-69.32446967301219
